id,index_name,token,created_at
1,HangSeng BeES-NAV,26016,2025-11-10 14:49:50.990300
2,India VIX,26017,2025-11-10 14:49:50.990300
3,Nifty 50,26000,2025-11-10 14:49:50.990300
4,Nifty IT,26008,2025-11-10 14:49:50.990300
5,Nifty Next 50,26013,2025-11-10 14:49:50.990300
6,Nifty Bank,26009,2025-11-10 14:49:50.990300
7,Nifty 500,26004,2025-11-10 14:49:50.990300
8,Nifty 100,26012,2025-11-10 14:49:50.990300
9,Nifty Midcap 50,26014,2025-11-10 14:49:50.990300
10,Nifty Realty,26018,2025-11-10 14:49:50.990300
11,Nifty Infra,26019,2025-11-10 14:49:50.990300
12,Nifty Energy,26020,2025-11-10 14:49:50.990300
13,Nifty FMCG,26021,2025-11-10 14:49:50.990300
14,Nifty MNC,26022,2025-11-10 14:49:50.990300
15,Nifty Pharma,26023,2025-11-10 14:49:50.990300
16,Nifty PSE,26024,2025-11-10 14:49:50.990300
17,Nifty PSU Bank,26025,2025-11-10 14:49:50.990300
18,Nifty Serv Sector,26026,2025-11-10 14:49:50.990300
19,Nifty Auto,26029,2025-11-10 14:49:50.990300
20,Nifty Metal,26030,2025-11-10 14:49:50.990300
21,Nifty Media,26031,2025-11-10 14:49:50.990300
22,Nifty 200,26033,2025-11-10 14:49:50.990300
23,Nifty Div Opps 50,26034,2025-11-10 14:49:50.990300
24,Nifty Commodities,26035,2025-11-10 14:49:50.990300
25,Nifty Consumption,26036,2025-11-10 14:49:50.990300
26,Nifty Fin Service,26037,2025-11-10 14:49:50.990300
27,Nifty50 Div Point,26038,2025-11-10 14:49:50.990300
28,Nifty100 Liq 15,26040,2025-11-10 14:49:50.990300
29,Nifty CPSE,26041,2025-11-10 14:49:50.990300
30,Nifty GrowSect 15,26001,2025-11-10 14:49:50.990300
31,Nifty50 PR 2x Lev,26002,2025-11-10 14:49:50.990300
32,Nifty50 PR 1x Inv,26042,2025-11-10 14:49:50.990300
33,Nifty50 TR 2x Lev,26043,2025-11-10 14:49:50.990300
34,Nifty50 TR 1x Inv,26044,2025-11-10 14:49:50.990300
35,Nifty50 Value 20,26045,2025-11-10 14:49:50.990300
36,Nifty Mid Liq 15,26046,2025-11-10 14:49:50.990300
37,Nifty Pvt Bank,26047,2025-11-10 14:49:50.990300
38,NIFTY100 Qualty30,26048,2025-11-10 14:49:50.990300
39,NIFTY MIDCAP 100,26011,2025-11-10 14:49:50.990300
40,NIFTY SMLCAP 100,26032,2025-11-10 14:49:50.990300
41,Nifty GS 8 13Yr,26049,2025-11-10 14:49:50.990300
42,Nifty GS 10Yr,26050,2025-11-10 14:49:50.990300
43,Nifty GS 10Yr Cln,26051,2025-11-10 14:49:50.990300
44,Nifty GS 4 8Yr,26052,2025-11-10 14:49:50.990300
45,Nifty GS 11 15Yr,26053,2025-11-10 14:49:50.990300
46,Nifty GS 15YrPlus,26054,2025-11-10 14:49:50.990300
47,Nifty GS Compsite,26055,2025-11-10 14:49:50.990300
48,NIFTY50 EQL Wgt,26056,2025-11-10 14:49:50.990300
49,NIFTY100 EQL Wgt,26057,2025-11-10 14:49:50.990300
50,NIFTY100 LowVol30,26058,2025-11-10 14:49:50.990300
51,NIFTY Alpha 50,26059,2025-11-10 14:49:50.990300
52,NIFTY MIDCAP 150,26060,2025-11-10 14:49:50.990300
53,NIFTY SMLCAP 50,26061,2025-11-10 14:49:50.990300
54,NIFTY SMLCAP 250,26062,2025-11-10 14:49:50.990300
55,NIFTY MIDSML 400,26063,2025-11-10 14:49:50.990300
56,NIFTY200 QUALTY30,26064,2025-11-10 14:49:50.990300
57,Nifty FinSrv25 50,26065,2025-11-10 14:49:50.990300
58,NIFTY AlphaLowVol,26066,2025-11-10 14:49:50.990300
59,Nifty200Momentm30,26067,2025-11-10 14:49:50.990300
60,Nifty100ESGSecLdr,26068,2025-11-10 14:49:50.990300
61,NIFTY HEALTHCARE,26069,2025-11-10 14:49:50.990300
62,NIFTY CONSR DURBL,26070,2025-11-10 14:49:50.990300
63,NIFTY OIL AND GAS,26071,2025-11-10 14:49:50.990300
64,NIFTY500 MULTICAP,26072,2025-11-10 14:49:50.990300
65,NIFTY LARGEMID250,26073,2025-11-10 14:49:50.990300
66,NIFTY MID SELECT,26074,2025-11-10 14:49:50.990300
67,NIFTY TOTAL MKT,26075,2025-11-10 14:49:50.990300
68,NIFTY MICROCAP250,26076,2025-11-10 14:49:50.990300
69,NIFTY IND DIGITAL,26077,2025-11-10 14:49:50.990300
70,Nifty100 ESG,26078,2025-11-10 14:49:50.990300
71,NIFTY M150 QLTY50,26079,2025-11-10 14:49:50.990300
72,NIFTY INDIA MFG,26080,2025-11-10 14:49:50.990300
73,INDEX1 NSETEST,26500,2025-11-10 14:49:50.990300
74,INDEX2 NSETEST,26501,2025-11-10 14:49:50.990300
75,Nifty200 Alpha 30,26081,2025-11-10 14:49:50.990300
76,NiftyM150Momntm50,26082,2025-11-10 14:49:50.990300
77,Nifty Tata 25 Cap,26083,2025-11-10 14:49:50.990300
78,Nifty MidSml Hlth,26084,2025-11-10 14:49:50.990300
79,Nifty Multi Mfg,26085,2025-11-10 14:49:50.990300
80,Nifty Multi Infra,26086,2025-11-10 14:49:50.990300
81,BHARATBOND-APR30,26088,2025-11-10 14:49:50.990300
82,BHARATBOND-APR31,26089,2025-11-10 14:49:50.990300
83,BHARATBOND-APR32,26090,2025-11-10 14:49:50.990300
84,BHARATBOND-APR33,26091,2025-11-10 14:49:50.990300
85,Nifty Ind Defence,26092,2025-11-10 14:49:50.990300
86,Nifty Ind Tourism,26093,2025-11-10 14:49:50.990300
87,Nifty Capital Mkt,26094,2025-11-10 14:49:50.990300
88,Nifty500Momentm50,26095,2025-11-10 14:49:50.990300
89,NiftyMS400 MQ 100,26096,2025-11-10 14:49:50.990300
90,NiftySml250MQ 100,26097,2025-11-10 14:49:50.990300
91,Nifty Top 10 EW,26098,2025-11-10 14:49:50.990300
92,Nifty AQL 30,26099,2025-11-10 14:49:50.990300
93,Nifty AQLV 30,26100,2025-11-10 14:49:50.990300
94,Nifty EV,26101,2025-11-10 14:49:50.990300
95,Nifty HighBeta 50,26102,2025-11-10 14:49:50.990300
96,Nifty New Consump,26103,2025-11-10 14:49:50.990300
97,Nifty Corp MAATR,26104,2025-11-10 14:49:50.990300
98,Nifty Low Vol 50,26105,2025-11-10 14:49:50.990300
99,Nifty Mobility,26106,2025-11-10 14:49:50.990300
100,Nifty Qlty LV 30,26107,2025-11-10 14:49:50.990300
101,Nifty Sml250 Q50,26108,2025-11-10 14:49:50.990300
102,Nifty Top 15 EW,26109,2025-11-10 14:49:50.990300
103,Nifty100 Alpha 30,26110,2025-11-10 14:49:50.990300
104,Nifty100 Enh ESG,26111,2025-11-10 14:49:50.990300
105,Nifty200 Value 30,26112,2025-11-10 14:49:50.990300
106,Nifty500 EW,26113,2025-11-10 14:49:50.990300
107,Nifty Multi MQ 50,26114,2025-11-10 14:49:50.990300
108,Nifty500 Value 50,26115,2025-11-10 14:49:50.990300
109,Nifty Top 20 EW,26116,2025-11-10 14:49:50.990300
110,Nifty CoreHousing,26117,2025-11-10 14:49:50.990300
111,Nifty FinSerExBnk,26118,2025-11-10 14:49:50.990300
112,Nifty Housing,26119,2025-11-10 14:49:50.990300
113,Nifty IPO,26120,2025-11-10 14:49:50.990300
114,Nifty MS Fin Serv,26121,2025-11-10 14:49:50.990300
115,Nifty MS Ind Cons,26122,2025-11-10 14:49:50.990300
116,Nifty MS IT Telcm,26123,2025-11-10 14:49:50.990300
117,Nifty NonCyc Cons,26124,2025-11-10 14:49:50.990300
118,Nifty Rural,26125,2025-11-10 14:49:50.990300
119,Nifty Shariah 25,26126,2025-11-10 14:49:50.990300
120,Nifty Trans Logis,26127,2025-11-10 14:49:50.990300
121,Nifty50 Shariah,26128,2025-11-10 14:49:50.990300
122,Nifty500 LMS Eql,26129,2025-11-10 14:49:50.990300
123,Nifty500 Shariah,26130,2025-11-10 14:49:50.990300
124,Nifty500 Qlty50,26131,2025-11-10 14:49:50.990300
125,Nifty500 LowVol50,26132,2025-11-10 14:49:50.990300
126,Nifty500 MQVLv50,26133,2025-11-10 14:49:50.990300
127,Nifty50 USD,26134,2025-11-10 14:49:50.990300
128,Nifty500 Flexicap,26135,2025-11-10 14:49:50.990300
129,Nifty TMMQ 50,26136,2025-11-10 14:49:50.990300
130,Nifty FPI 150,26139,2025-11-10 14:49:50.990300
131,Nifty SME Emerge,26140,2025-11-10 14:49:50.990300
132,Nifty Internet,26141,2025-11-10 14:49:50.990300
133,Nifty Chemicals,26142,2025-11-10 14:49:50.990300
134,Nifty Waves,26143,2025-11-10 14:49:50.990300
135,Nifty InfraLog,26144,2025-11-10 14:49:50.990300
136,Nifty500 Health,26145,2025-11-10 14:49:50.990300
137,Nifty 10 yr Benchmark G-Sec,26001,2025-11-10 16:02:36.834990
138,Nifty 10 yr Benchmark G-Sec (Clean Price),26002,2025-11-10 16:02:36.834990
139,Nifty 11-15 yr G-Sec Index,26003,2025-11-10 16:02:36.834990
140,Nifty 15 yr and above G-Sec Index,26004,2025-11-10 16:02:36.834990
141,Nifty 1D Rate Index,26005,2025-11-10 16:02:36.834990
142,Nifty 4-8 yr G-Sec Index,26006,2025-11-10 16:02:36.834990
143,Nifty 50 Arbitrage,26007,2025-11-10 16:02:36.834990
144,Nifty 50 Futures Index,26008,2025-11-10 16:02:36.834990
145,Nifty 50 Futures TR Index,26009,2025-11-10 16:02:36.834990
146,Nifty 8-13 yr G-Sec,26010,2025-11-10 16:02:36.834990
147,Nifty Alpha 50,26011,2025-11-10 16:02:36.834990
148,NIFTY Alpha Low-Volatility 30,26012,2025-11-10 16:02:36.834990
149,NIFTY Alpha Quality Low-Volatility 30,26013,2025-11-10 16:02:36.834990
150,NIFTY Alpha Quality Value Low-Volatility 30,26014,2025-11-10 16:02:36.834990
151,Nifty BHARAT Bond Index - April 2030,26015,2025-11-10 16:02:36.834990
152,Nifty BHARAT Bond Index - April 2031,26016,2025-11-10 16:02:36.834990
153,Nifty BHARAT Bond Index - April 2032,26017,2025-11-10 16:02:36.834990
154,Nifty BHARAT Bond Index - April 2033,26018,2025-11-10 16:02:36.834990
155,Nifty Capital Markets,26019,2025-11-10 16:02:36.834990
156,Nifty Composite G-sec Index,26020,2025-11-10 16:02:36.834990
157,Nifty Conglomerate 50,26021,2025-11-10 16:02:36.834990
158,Nifty Consumer Durables,26022,2025-11-10 16:02:36.834990
159,Nifty Core Housing,26023,2025-11-10 16:02:36.834990
160,Nifty Dividend Opportunities 50,26024,2025-11-10 16:02:36.834990
161,Nifty EV & New Age Automotive,26025,2025-11-10 16:02:36.834990
162,Nifty Financial Services,26026,2025-11-10 16:02:36.834990
163,Nifty Financial Services 25/50,26027,2025-11-10 16:02:36.834990
164,Nifty Financial Services Ex-Bank,26028,2025-11-10 16:02:36.834990
165,Nifty Growth Sectors 15,26029,2025-11-10 16:02:36.834990
166,Nifty Healthcare Index,26030,2025-11-10 16:02:36.834990
167,Nifty High Beta 50,26031,2025-11-10 16:02:36.834990
168,Nifty India Consumption,26032,2025-11-10 16:02:36.834990
169,Nifty India Corporate Group Index - Aditya Birla Group,26033,2025-11-10 16:02:36.834990
170,Nifty India Corporate Group Index - Mahindra Group,26034,2025-11-10 16:02:36.834990
171,Nifty India Corporate Group Index - Tata Group,26035,2025-11-10 16:02:36.834990
172,Nifty India Corporate Group Index - Tata Group 25% Cap,26036,2025-11-10 16:02:36.834990
173,Nifty India Defence,26037,2025-11-10 16:02:36.834990
174,Nifty India Digital,26038,2025-11-10 16:02:36.834990
175,Nifty India FPI 150,26039,2025-11-10 16:02:36.834990
176,Nifty India Infrastructure & Logistics,26040,2025-11-10 16:02:36.834990
177,Nifty India Internet,26041,2025-11-10 16:02:36.834990
178,Nifty India Manufacturing,26042,2025-11-10 16:02:36.834990
179,Nifty India New Age Consumption,26043,2025-11-10 16:02:36.834990
180,Nifty India Railways PSU,26044,2025-11-10 16:02:36.834990
181,Nifty India Select 5 Corporate Groups (MAATR),26045,2025-11-10 16:02:36.834990
182,Nifty India Tourism,26046,2025-11-10 16:02:36.834990
183,Nifty Infrastructure,26047,2025-11-10 16:02:36.834990
184,NIFTY LargeMidcap 250,26048,2025-11-10 16:02:36.834990
185,Nifty Low Volatility 50,26049,2025-11-10 16:02:36.834990
186,Nifty Microcap 250,26050,2025-11-10 16:02:36.834990
187,NIFTY Midcap 100,26051,2025-11-10 16:02:36.834990
188,Nifty Midcap 150,26052,2025-11-10 16:02:36.834990
189,Nifty Midcap Liquid 15,26053,2025-11-10 16:02:36.834990
190,Nifty Midcap Select,26054,2025-11-10 16:02:36.834990
191,Nifty Midcap150 Momentum 50,26055,2025-11-10 16:02:36.834990
192,NIFTY Midcap150 Quality 50,26056,2025-11-10 16:02:36.834990
193,Nifty MidSmall Financial Services,26057,2025-11-10 16:02:36.834990
194,Nifty MidSmall Healthcare,26058,2025-11-10 16:02:36.834990
195,Nifty MidSmall India Consumption,26059,2025-11-10 16:02:36.834990
196,Nifty MidSmall IT & Telecom,26060,2025-11-10 16:02:36.834990
197,Nifty MidSmallcap 400,26061,2025-11-10 16:02:36.834990
198,Nifty MidSmallcap400 Momentum Quality 100,26062,2025-11-10 16:02:36.834990
199,Nifty Non-Cyclical Consumer,26063,2025-11-10 16:02:36.834990
200,Nifty Oil & Gas,26064,2025-11-10 16:02:36.834990
201,Nifty Private Bank,26065,2025-11-10 16:02:36.834990
202,NIFTY Quality Low-Volatility 30,26066,2025-11-10 16:02:36.834990
203,Nifty REITs & InvITs,26067,2025-11-10 16:02:36.834990
204,Nifty Services Sector,26068,2025-11-10 16:02:36.834990
205,NIFTY Smallcap 100,26069,2025-11-10 16:02:36.834990
206,Nifty Smallcap 250,26070,2025-11-10 16:02:36.834990
207,Nifty Smallcap 50,26071,2025-11-10 16:02:36.834990
208,Nifty Smallcap250 Momentum Quality 100,26072,2025-11-10 16:02:36.834990
209,Nifty Smallcap250 Quality 50,26073,2025-11-10 16:02:36.834990
210,NIFTY SME EMERGE,26074,2025-11-10 16:02:36.834990
211,Nifty Top 10 Equal Weight,26075,2025-11-10 16:02:36.834990
212,Nifty Top 15 Equal Weight,26076,2025-11-10 16:02:36.834990
213,Nifty Top 20 Equal Weight,26077,2025-11-10 16:02:36.834990
214,Nifty Total Market,26078,2025-11-10 16:02:36.834990
215,Nifty Total Market Momentum Quality 50,26079,2025-11-10 16:02:36.834990
216,Nifty Transportation & Logistics,26080,2025-11-10 16:02:36.834990
217,NIFTY100 Alpha 30,26081,2025-11-10 16:02:36.834990
218,NIFTY100 Enhanced ESG,26082,2025-11-10 16:02:36.834990
219,Nifty100 Equal Weight,26083,2025-11-10 16:02:36.834990
220,NIFTY100 ESG,26084,2025-11-10 16:02:36.834990
221,Nifty100 ESG Sector Leaders,26085,2025-11-10 16:02:36.834990
222,Nifty100 Liquid 15,26086,2025-11-10 16:02:36.834990
223,Nifty100 Low Volatility 30,26087,2025-11-10 16:02:36.834990
224,NIFTY100 Quality 30,26088,2025-11-10 16:02:36.834990
225,Nifty200 Momentum 30,26089,2025-11-10 16:02:36.834990
226,NIFTY200 Quality 30,26090,2025-11-10 16:02:36.834990
227,Nifty50 Dividend Points,26091,2025-11-10 16:02:36.834990
228,NIFTY50 Equal Weight,26092,2025-11-10 16:02:36.834990
229,Nifty50 PR 1x Inverse,26093,2025-11-10 16:02:36.834990
230,Nifty50 PR 2x Leverage,26094,2025-11-10 16:02:36.834990
231,Nifty50 TR 1x Inverse,26095,2025-11-10 16:02:36.834990
232,Nifty50 TR 2x Leverage,26096,2025-11-10 16:02:36.834990
233,Nifty500 Equal Weight,26097,2025-11-10 16:02:36.834990
234,Nifty500 Flexicap Quality 30,26098,2025-11-10 16:02:36.834990
235,Nifty500 Healthcare,26099,2025-11-10 16:02:36.834990
236,Nifty500 LargeMidSmall Equal-Cap Weighted,26100,2025-11-10 16:02:36.834990
237,Nifty500 Low Volatility 50,26101,2025-11-10 16:02:36.834990
238,Nifty500 Momentum 50,26102,2025-11-10 16:02:36.834990
239,Nifty500 Multicap 50:25:25,26103,2025-11-10 16:02:36.834990
240,Nifty500 Multicap India Manufacturing 50:30:20,26104,2025-11-10 16:02:36.834990
241,Nifty500 Multicap Infrastructure 50:30:20,26105,2025-11-10 16:02:36.834990
242,Nifty500 Multicap Momentum Quality 50,26106,2025-11-10 16:02:36.834990
243,Nifty500 Multifactor MQVLv 50,26107,2025-11-10 16:02:36.834990
244,Nifty500 Quality 50,26108,2025-11-10 16:02:36.834990
245,NIFTY500 Value 50,26109,2025-11-10 16:02:36.834990
